# Wavelength (um)  Transmission
  1.440500         0.0000
  1.440630         0.0000
  1.440760         0.0000
  1.440890         0.0000
  1.441020         0.0000
  1.441150         0.0000
  1.441280         0.0000
  1.441410         0.0000
  1.441540         0.0000
  1.441670         0.0000
  1.441800         0.0000
  1.441930         0.0000
  1.442060         0.0000
  1.442190         0.0000
  1.442320         0.0000
  1.442450         0.0000
  1.442580         0.0000
  1.442710         0.0000
  1.442840         0.0000
  1.442970         0.0000
  1.443100         0.0000
  1.443230         0.0000
  1.443360         0.0000
  1.443490         0.0000
  1.443620         0.0000
  1.443750         0.0000
  1.443880         1.0000
  1.444010         1.0000
  1.444140         1.0000
  1.444270         1.0000
  1.444400         1.0000
  1.444530         1.0000
  1.444660         1.0000
  1.444790         1.0000
  1.444920         1.0000
  1.445050         1.0000
  1.445180         1.0000
  1.445310         1.0000
  1.445440         1.0000
  1.445570         1.0000
  1.445700         1.0000
  1.445830         1.0000
  1.445960         1.0000
  1.446090         1.0000
  1.446220         1.0000
  1.446350         1.0000
  1.446480         1.0000
  1.446610         1.0000
  1.446740         1.0000
  1.446870         1.0000
  1.447000         1.0000
  1.447130         1.0000
  1.447260         1.0000
  1.447390         1.0000
  1.447520         1.0000
  1.447650         1.0000
  1.447780         1.0000
  1.447910         1.0000
  1.448040         1.0000
  1.448170         1.0000
  1.448300         1.0000
  1.448430         1.0000
  1.448560         1.0000
  1.448690         1.0000
  1.448820         1.0000
  1.448950         1.0000
  1.449080         1.0000
  1.449210         1.0000
  1.449340         1.0000
  1.449470         1.0000
  1.449600         1.0000
  1.449730         1.0000
  1.449860         1.0000
  1.449990         1.0000
  1.450120         1.0000
  1.450250         1.0000
  1.450380         1.0000
  1.450510         1.0000
  1.450640         1.0000
  1.450770         1.0000
  1.450900         1.0000
  1.451030         1.0000
  1.451160         1.0000
  1.451290         1.0000
  1.451420         1.0000
  1.451550         1.0000
  1.451680         1.0000
  1.451810         1.0000
  1.451940         1.0000
  1.452070         1.0000
  1.452200         1.0000
  1.452330         1.0000
  1.452460         1.0000
  1.452590         1.0000
  1.452720         1.0000
  1.452850         1.0000
  1.452980         1.0000
  1.453110         1.0000
  1.453240         1.0000
  1.453370         1.0000
  1.453500         1.0000
  1.453630         1.0000
  1.453760         1.0000
  1.453890         1.0000
  1.454020         1.0000
  1.454150         1.0000
  1.454280         1.0000
  1.454410         1.0000
  1.454540         1.0000
  1.454670         1.0000
  1.454800         1.0000
  1.454930         1.0000
  1.455060         1.0000
  1.455190         1.0000
  1.455320         1.0000
  1.455450         1.0000
  1.455580         1.0000
  1.455710         1.0000
  1.455840         1.0000
  1.455970         1.0000
  1.456100         1.0000
  1.456230         1.0000
  1.456360         1.0000
  1.456490         1.0000
  1.456620         1.0000
  1.456750         1.0000
  1.456880         1.0000
  1.457010         1.0000
  1.457140         1.0000
  1.457270         1.0000
  1.457400         1.0000
  1.457530         1.0000
  1.457660         1.0000
  1.457790         1.0000
  1.457920         1.0000
  1.458050         1.0000
  1.458180         1.0000
  1.458310         1.0000
  1.458440         1.0000
  1.458570         1.0000
  1.458700         1.0000
  1.458830         1.0000
  1.458960         1.0000
  1.459090         1.0000
  1.459220         1.0000
  1.459350         1.0000
  1.459480         1.0000
  1.459610         1.0000
  1.459740         1.0000
  1.459870         1.0000
  1.460000         1.0000
  1.460130         1.0000
  1.460260         1.0000
  1.460390         1.0000
  1.460520         1.0000
  1.460650         1.0000
  1.460780         1.0000
  1.460910         1.0000
  1.461040         1.0000
  1.461170         1.0000
  1.461300         1.0000
  1.461430         1.0000
  1.461560         1.0000
  1.461690         1.0000
  1.461820         1.0000
  1.461950         1.0000
  1.462080         1.0000
  1.462210         1.0000
  1.462340         1.0000
  1.462470         1.0000
  1.462600         1.0000
  1.462730         1.0000
  1.462860         1.0000
  1.462990         1.0000
  1.463120         1.0000
  1.463250         1.0000
  1.463380         1.0000
  1.463510         1.0000
  1.463640         1.0000
  1.463770         1.0000
  1.463900         1.0000
  1.464030         1.0000
  1.464160         1.0000
  1.464290         1.0000
  1.464420         1.0000
  1.464550         1.0000
  1.464680         1.0000
  1.464810         1.0000
  1.464940         1.0000
  1.465070         1.0000
  1.465200         1.0000
  1.465330         1.0000
  1.465460         1.0000
  1.465590         1.0000
  1.465720         1.0000
  1.465850         1.0000
  1.465980         1.0000
  1.466110         1.0000
  1.466240         1.0000
  1.466370         1.0000
  1.466500         1.0000
  1.466630         1.0000
  1.466760         1.0000
  1.466890         1.0000
  1.467020         1.0000
  1.467150         1.0000
  1.467280         1.0000
  1.467410         1.0000
  1.467540         1.0000
  1.467670         1.0000
  1.467800         1.0000
  1.467930         1.0000
  1.468060         1.0000
  1.468190         1.0000
  1.468320         1.0000
  1.468450         1.0000
  1.468580         1.0000
  1.468710         1.0000
  1.468840         1.0000
  1.468970         1.0000
  1.469100         1.0000
  1.469230         1.0000
  1.469360         1.0000
  1.469490         1.0000
  1.469620         1.0000
  1.469750         1.0000
  1.469880         1.0000
  1.470010         1.0000
  1.470140         1.0000
  1.470270         1.0000
  1.470400         1.0000
  1.470530         1.0000
  1.470660         1.0000
  1.470790         1.0000
  1.470920         1.0000
  1.471050         1.0000
  1.471180         1.0000
  1.471310         1.0000
  1.471440         1.0000
  1.471570         1.0000
  1.471700         1.0000
  1.471830         1.0000
  1.471960         1.0000
  1.472090         1.0000
  1.472220         1.0000
  1.472350         1.0000
  1.472480         1.0000
  1.472610         1.0000
  1.472740         1.0000
  1.472870         1.0000
  1.473000         1.0000
  1.473130         1.0000
  1.473260         1.0000
  1.473390         1.0000
  1.473520         1.0000
  1.473650         1.0000
  1.473780         1.0000
  1.473910         1.0000
  1.474040         1.0000
  1.474170         1.0000
  1.474300         1.0000
  1.474430         1.0000
  1.474560         1.0000
  1.474690         1.0000
  1.474820         1.0000
  1.474950         1.0000
  1.475080         1.0000
  1.475210         1.0000
  1.475340         1.0000
  1.475470         1.0000
  1.475600         1.0000
  1.475730         1.0000
  1.475860         1.0000
  1.475990         1.0000
  1.476120         1.0000
  1.476250         1.0000
  1.476380         0.0000
  1.476510         0.0000
  1.476640         0.0000
  1.476770         0.0000
  1.476900         0.0000
  1.477030         0.0000
  1.477160         0.0000
  1.477290         0.0000
  1.477420         0.0000
  1.477550         0.0000
  1.477680         0.0000
  1.477810         0.0000
  1.477940         0.0000
  1.478070         0.0000
  1.478200         0.0000
  1.478330         0.0000
  1.478460         0.0000
  1.478590         0.0000
  1.478720         0.0000
  1.478850         0.0000
  1.478980         0.0000
  1.479110         0.0000
  1.479240         0.0000
  1.479370         0.0000
  1.479500         0.0000
