# Wavelength (um)  Transmission
  1.213200         0.0000
  1.213330         0.0000
  1.213460         0.0000
  1.213590         0.0000
  1.213720         0.0000
  1.213850         0.0000
  1.213980         0.0000
  1.214110         0.0000
  1.214240         0.0000
  1.214370         0.0000
  1.214500         0.0000
  1.214630         0.0000
  1.214760         0.0000
  1.214890         0.0000
  1.215020         0.0000
  1.215150         0.0000
  1.215280         0.0000
  1.215410         0.0000
  1.215540         0.0000
  1.215670         0.0000
  1.215800         0.0000
  1.215930         0.0000
  1.216060         0.0000
  1.216190         0.0000
  1.216320         0.0000
  1.216450         0.0000
  1.216580         1.0000
  1.216710         1.0000
  1.216840         1.0000
  1.216970         1.0000
  1.217100         1.0000
  1.217230         1.0000
  1.217360         1.0000
  1.217490         1.0000
  1.217620         1.0000
  1.217750         1.0000
  1.217880         1.0000
  1.218010         1.0000
  1.218140         1.0000
  1.218270         1.0000
  1.218400         1.0000
  1.218530         1.0000
  1.218660         1.0000
  1.218790         1.0000
  1.218920         1.0000
  1.219050         1.0000
  1.219180         1.0000
  1.219310         1.0000
  1.219440         1.0000
  1.219570         1.0000
  1.219700         1.0000
  1.219830         1.0000
  1.219960         1.0000
  1.220090         1.0000
  1.220220         1.0000
  1.220350         1.0000
  1.220480         1.0000
  1.220610         1.0000
  1.220740         1.0000
  1.220870         1.0000
  1.221000         1.0000
  1.221130         1.0000
  1.221260         1.0000
  1.221390         1.0000
  1.221520         1.0000
  1.221650         1.0000
  1.221780         1.0000
  1.221910         1.0000
  1.222040         1.0000
  1.222170         1.0000
  1.222300         1.0000
  1.222430         1.0000
  1.222560         1.0000
  1.222690         1.0000
  1.222820         1.0000
  1.222950         1.0000
  1.223080         1.0000
  1.223210         1.0000
  1.223340         1.0000
  1.223470         1.0000
  1.223600         1.0000
  1.223730         1.0000
  1.223860         1.0000
  1.223990         1.0000
  1.224120         1.0000
  1.224250         1.0000
  1.224380         1.0000
  1.224510         1.0000
  1.224640         1.0000
  1.224770         1.0000
  1.224900         1.0000
  1.225030         1.0000
  1.225160         1.0000
  1.225290         1.0000
  1.225420         1.0000
  1.225550         1.0000
  1.225680         1.0000
  1.225810         1.0000
  1.225940         1.0000
  1.226070         1.0000
  1.226200         1.0000
  1.226330         1.0000
  1.226460         1.0000
  1.226590         1.0000
  1.226720         1.0000
  1.226850         1.0000
  1.226980         1.0000
  1.227110         1.0000
  1.227240         1.0000
  1.227370         1.0000
  1.227500         1.0000
  1.227630         1.0000
  1.227760         1.0000
  1.227890         1.0000
  1.228020         1.0000
  1.228150         1.0000
  1.228280         1.0000
  1.228410         1.0000
  1.228540         1.0000
  1.228670         1.0000
  1.228800         1.0000
  1.228930         1.0000
  1.229060         1.0000
  1.229190         1.0000
  1.229320         1.0000
  1.229450         1.0000
  1.229580         1.0000
  1.229710         1.0000
  1.229840         1.0000
  1.229970         1.0000
  1.230100         1.0000
  1.230230         1.0000
  1.230360         1.0000
  1.230490         1.0000
  1.230620         1.0000
  1.230750         1.0000
  1.230880         1.0000
  1.231010         1.0000
  1.231140         1.0000
  1.231270         1.0000
  1.231400         1.0000
  1.231530         1.0000
  1.231660         1.0000
  1.231790         1.0000
  1.231920         1.0000
  1.232050         1.0000
  1.232180         1.0000
  1.232310         1.0000
  1.232440         1.0000
