# Wavelength (um)  Transmission
  1.115700         0.0000
  1.115830         0.0000
  1.115960         0.0000
  1.116090         0.0000
  1.116220         0.0000
  1.116350         0.0000
  1.116480         0.0000
  1.116610         0.0000
  1.116740         0.0000
  1.116870         0.0000
  1.117000         0.0000
  1.117130         0.0000
  1.117260         0.0000
  1.117390         0.0000
  1.117520         0.0000
  1.117650         0.0000
  1.117780         0.0000
  1.117910         0.0000
  1.118040         0.0000
  1.118170         0.0000
  1.118300         0.0000
  1.118430         0.0000
  1.118560         0.0000
  1.118690         0.0000
  1.118820         0.0000
  1.118950         0.0000
  1.119080         1.0000
  1.119210         1.0000
  1.119340         1.0000
  1.119470         1.0000
  1.119600         1.0000
  1.119730         1.0000
  1.119860         1.0000
  1.119990         1.0000
  1.120120         1.0000
  1.120250         1.0000
  1.120380         1.0000
  1.120510         1.0000
  1.120640         1.0000
  1.120770         1.0000
  1.120900         1.0000
  1.121030         1.0000
  1.121160         1.0000
  1.121290         1.0000
  1.121420         1.0000
  1.121550         1.0000
  1.121680         1.0000
  1.121810         1.0000
  1.121940         1.0000
  1.122070         1.0000
  1.122200         1.0000
  1.122330         1.0000
  1.122460         1.0000
  1.122590         1.0000
  1.122720         1.0000
  1.122850         1.0000
  1.122980         1.0000
  1.123110         1.0000
  1.123240         1.0000
  1.123370         1.0000
  1.123500         1.0000
  1.123630         1.0000
  1.123760         1.0000
  1.123890         1.0000
  1.124020         1.0000
  1.124150         1.0000
  1.124280         1.0000
  1.124410         1.0000
  1.124540         1.0000
  1.124670         1.0000
  1.124800         1.0000
  1.124930         1.0000
  1.125060         1.0000
  1.125190         1.0000
  1.125320         1.0000
  1.125450         1.0000
  1.125580         1.0000
  1.125710         1.0000
  1.125840         1.0000
  1.125970         1.0000
  1.126100         1.0000
  1.126230         1.0000
  1.126360         1.0000
  1.126490         1.0000
  1.126620         1.0000
  1.126750         1.0000
  1.126880         1.0000
  1.127010         1.0000
  1.127140         1.0000
  1.127270         1.0000
  1.127400         1.0000
  1.127530         1.0000
  1.127660         1.0000
  1.127790         1.0000
  1.127920         1.0000
  1.128050         1.0000
  1.128180         1.0000
  1.128310         1.0000
  1.128440         1.0000
  1.128570         1.0000
  1.128700         1.0000
  1.128830         1.0000
  1.128960         1.0000
  1.129090         1.0000
  1.129220         1.0000
  1.129350         1.0000
  1.129480         1.0000
  1.129610         1.0000
  1.129740         1.0000
  1.129870         1.0000
  1.130000         1.0000
  1.130130         1.0000
  1.130260         1.0000
  1.130390         1.0000
  1.130520         1.0000
  1.130650         1.0000
  1.130780         1.0000
  1.130910         1.0000
  1.131040         1.0000
  1.131170         1.0000
  1.131300         1.0000
  1.131430         1.0000
  1.131560         1.0000
  1.131690         1.0000
  1.131820         1.0000
  1.131950         1.0000
  1.132080         1.0000
  1.132210         1.0000
  1.132340         1.0000
  1.132470         1.0000
  1.132600         1.0000
  1.132730         1.0000
  1.132860         1.0000
  1.132990         1.0000
  1.133120         1.0000
  1.133250         1.0000
  1.133380         1.0000
  1.133510         1.0000
  1.133640         1.0000
  1.133770         1.0000
  1.133900         1.0000
  1.134030         1.0000
  1.134160         1.0000
  1.134290         1.0000
  1.134420         1.0000
  1.134550         1.0000
  1.134680         1.0000
  1.134810         1.0000
  1.134940         1.0000
  1.135070         1.0000
  1.135200         1.0000
  1.135330         1.0000
  1.135460         1.0000
  1.135590         1.0000
  1.135720         1.0000
  1.135850         1.0000
  1.135980         1.0000
  1.136110         1.0000
  1.136240         1.0000
  1.136370         1.0000
  1.136500         1.0000
  1.136630         1.0000
  1.136760         1.0000
  1.136890         1.0000
  1.137020         1.0000
  1.137150         1.0000
  1.137280         1.0000
  1.137410         1.0000
  1.137540         1.0000
  1.137670         1.0000
  1.137800         1.0000
  1.137930         1.0000
  1.138060         1.0000
  1.138190         1.0000
  1.138320         1.0000
  1.138450         1.0000
  1.138580         1.0000
  1.138710         1.0000
  1.138840         1.0000
  1.138970         1.0000
  1.139100         1.0000
  1.139230         1.0000
  1.139360         1.0000
  1.139490         1.0000
  1.139620         1.0000
  1.139750         1.0000
  1.139880         1.0000
  1.140010         1.0000
  1.140140         1.0000
  1.140270         1.0000
  1.140400         1.0000
  1.140530         1.0000
  1.140660         1.0000
  1.140790         1.0000
  1.140920         1.0000
  1.141050         1.0000
  1.141180         1.0000
  1.141310         1.0000
  1.141440         1.0000
  1.141570         1.0000
  1.141700         1.0000
  1.141830         1.0000
  1.141960         1.0000
  1.142090         1.0000
  1.142220         1.0000
  1.142350         1.0000
  1.142480         1.0000
  1.142610         1.0000
  1.142740         1.0000
  1.142870         1.0000
  1.143000         1.0000
  1.143130         1.0000
  1.143260         1.0000
  1.143390         1.0000
  1.143520         1.0000
  1.143650         1.0000
  1.143780         1.0000
  1.143910         1.0000
  1.144040         1.0000
  1.144170         1.0000
  1.144300         1.0000
  1.144430         1.0000
  1.144560         1.0000
  1.144690         1.0000
  1.144820         1.0000
  1.144950         1.0000
  1.145080         1.0000
  1.145210         1.0000
  1.145340         1.0000
  1.145470         1.0000
  1.145600         1.0000
  1.145730         1.0000
  1.145860         1.0000
  1.145990         1.0000
  1.146120         1.0000
  1.146250         1.0000
  1.146380         1.0000
  1.146510         1.0000
  1.146640         1.0000
  1.146770         1.0000
  1.146900         1.0000
  1.147030         1.0000
  1.147160         1.0000
  1.147290         1.0000
  1.147420         1.0000
  1.147550         1.0000
  1.147680         1.0000
  1.147810         1.0000
  1.147940         1.0000
  1.148070         1.0000
  1.148200         1.0000
  1.148330         1.0000
  1.148460         1.0000
  1.148590         1.0000
  1.148720         1.0000
  1.148850         1.0000
  1.148980         1.0000
  1.149110         1.0000
  1.149240         1.0000
  1.149370         1.0000
  1.149500         1.0000
  1.149630         1.0000
  1.149760         1.0000
  1.149890         1.0000
  1.150020         1.0000
  1.150150         1.0000
  1.150280         1.0000
  1.150410         1.0000
  1.150540         1.0000
  1.150670         1.0000
  1.150800         1.0000
  1.150930         1.0000
  1.151060         1.0000
  1.151190         1.0000
