# Wavelength (um)  Transmission
  1.185000         0.0000
  1.185150         0.0000
  1.185300         0.0000
  1.185450         0.0000
  1.185600         0.0000
  1.185750         0.0000
  1.185900         0.0000
  1.186050         0.0000
  1.186200         0.0000
  1.186350         0.0000
  1.186500         0.0000
  1.186650         0.0000
  1.186800         0.0000
  1.186950         0.0000
  1.187100         0.0000
  1.187250         0.0000
  1.187400         0.0000
  1.187550         0.0000
  1.187700         0.0000
  1.187850         0.0000
  1.188000         0.0000
  1.188150         0.0000
  1.188300         0.0000
  1.188450         0.0000
  1.188600         0.0000
  1.188750         0.0000
  1.188900         0.0000
  1.189050         0.0000
  1.189200         0.0000
  1.189350         0.0000
  1.189500         0.0000
  1.189650         0.0000
  1.189800         0.0000
  1.189950         0.0000
  1.190100         0.0000
  1.190250         0.0000
  1.190400         0.0000
  1.190550         0.0000
  1.190700         0.0000
  1.190850         0.0000
  1.191000         0.0000
  1.191150         0.0000
  1.191300         0.0000
  1.191450         0.0000
  1.191600         0.0000
  1.191750         0.0000
  1.191900         0.0000
  1.192050         0.0000
  1.192200         0.0000
  1.192350         0.0000
  1.192500         0.0000
  1.192650         0.0000
  1.192800         0.0000
  1.192950         0.0000
  1.193100         0.0000
  1.193250         0.0000
  1.193400         0.0000
  1.193550         0.0000
  1.193700         0.0000
  1.193850         0.0000
  1.194000         0.0000
  1.194150         0.0000
  1.194300         0.0000
  1.194450         0.0000
  1.194600         0.0000
  1.194750         0.0000
  1.194900         0.0000
  1.195050         1.0000
  1.195200         1.0000
  1.195350         1.0000
  1.195500         1.0000
  1.195650         1.0000
  1.195800         1.0000
  1.195950         1.0000
  1.196100         1.0000
  1.196250         1.0000
  1.196400         1.0000
  1.196550         1.0000
  1.196700         1.0000
  1.196850         1.0000
  1.197000         1.0000
  1.197150         1.0000
  1.197300         1.0000
  1.197450         1.0000
  1.197600         1.0000
  1.197750         1.0000
  1.197900         1.0000
  1.198050         1.0000
  1.198200         1.0000
  1.198350         1.0000
  1.198500         1.0000
  1.198650         1.0000
  1.198800         1.0000
  1.198950         1.0000
  1.199100         1.0000
  1.199250         1.0000
  1.199400         1.0000
  1.199550         1.0000
  1.199700         1.0000
  1.199850         1.0000
  1.200000         1.0000
  1.200150         1.0000
  1.200300         1.0000
  1.200450         1.0000
  1.200600         1.0000
  1.200750         1.0000
  1.200900         1.0000
  1.201050         1.0000
  1.201200         1.0000
  1.201350         1.0000
  1.201500         1.0000
  1.201650         1.0000
  1.201800         1.0000
  1.201950         1.0000
  1.202100         1.0000
  1.202250         1.0000
  1.202400         1.0000
  1.202550         1.0000
  1.202700         1.0000
  1.202850         1.0000
  1.203000         1.0000
  1.203150         1.0000
  1.203300         1.0000
  1.203450         1.0000
  1.203600         1.0000
  1.203750         1.0000
  1.203900         1.0000
  1.204050         1.0000
  1.204200         1.0000
  1.204350         1.0000
  1.204500         1.0000
  1.204650         1.0000
  1.204800         1.0000
  1.204950         1.0000
  1.205100         1.0000
  1.205250         1.0000
