# Wavelength (um)  Transmission
  1.343100         0.0000
  1.343230         0.0000
  1.343360         0.0000
  1.343490         0.0000
  1.343620         0.0000
  1.343750         0.0000
  1.343880         0.0000
  1.344010         0.0000
  1.344140         0.0000
  1.344270         0.0000
  1.344400         0.0000
  1.344530         0.0000
  1.344660         0.0000
  1.344790         0.0000
  1.344920         0.0000
  1.345050         0.0000
  1.345180         0.0000
  1.345310         0.0000
  1.345440         0.0000
  1.345570         0.0000
  1.345700         0.0000
  1.345830         0.0000
  1.345960         0.0000
  1.346090         0.0000
  1.346220         0.0000
  1.346350         0.0000
  1.346480         1.0000
  1.346610         1.0000
  1.346740         1.0000
  1.346870         1.0000
  1.347000         1.0000
  1.347130         1.0000
  1.347260         1.0000
  1.347390         1.0000
  1.347520         1.0000
  1.347650         1.0000
  1.347780         1.0000
  1.347910         1.0000
  1.348040         1.0000
  1.348170         1.0000
  1.348300         1.0000
  1.348430         1.0000
  1.348560         1.0000
  1.348690         1.0000
  1.348820         1.0000
  1.348950         1.0000
  1.349080         1.0000
  1.349210         1.0000
  1.349340         1.0000
  1.349470         1.0000
  1.349600         1.0000
  1.349730         1.0000
  1.349860         1.0000
  1.349990         1.0000
  1.350120         1.0000
  1.350250         1.0000
  1.350380         1.0000
  1.350510         1.0000
  1.350640         1.0000
  1.350770         1.0000
  1.350900         1.0000
  1.351030         1.0000
  1.351160         1.0000
  1.351290         1.0000
  1.351420         1.0000
  1.351550         1.0000
  1.351680         1.0000
  1.351810         1.0000
  1.351940         1.0000
  1.352070         1.0000
  1.352200         1.0000
  1.352330         1.0000
  1.352460         1.0000
  1.352590         1.0000
  1.352720         1.0000
  1.352850         1.0000
  1.352980         1.0000
  1.353110         1.0000
  1.353240         1.0000
  1.353370         1.0000
  1.353500         1.0000
  1.353630         1.0000
  1.353760         1.0000
  1.353890         1.0000
  1.354020         1.0000
  1.354150         1.0000
  1.354280         1.0000
  1.354410         1.0000
  1.354540         1.0000
  1.354670         1.0000
  1.354800         1.0000
  1.354930         1.0000
  1.355060         1.0000
  1.355190         1.0000
  1.355320         1.0000
  1.355450         1.0000
  1.355580         1.0000
  1.355710         1.0000
  1.355840         1.0000
  1.355970         1.0000
  1.356100         1.0000
  1.356230         1.0000
  1.356360         1.0000
  1.356490         1.0000
  1.356620         1.0000
  1.356750         1.0000
  1.356880         1.0000
  1.357010         1.0000
  1.357140         1.0000
  1.357270         1.0000
  1.357400         1.0000
  1.357530         1.0000
  1.357660         1.0000
  1.357790         1.0000
  1.357920         1.0000
  1.358050         1.0000
  1.358180         1.0000
  1.358310         1.0000
  1.358440         1.0000
  1.358570         1.0000
  1.358700         1.0000
  1.358830         1.0000
  1.358960         1.0000
  1.359090         1.0000
  1.359220         1.0000
  1.359350         1.0000
  1.359480         1.0000
  1.359610         1.0000
  1.359740         1.0000
  1.359870         1.0000
  1.360000         1.0000
  1.360130         1.0000
  1.360260         1.0000
  1.360390         1.0000
  1.360520         1.0000
  1.360650         1.0000
  1.360780         1.0000
  1.360910         1.0000
  1.361040         1.0000
  1.361170         1.0000
  1.361300         1.0000
  1.361430         1.0000
  1.361560         1.0000
  1.361690         1.0000
  1.361820         1.0000
  1.361950         1.0000
  1.362080         1.0000
  1.362210         1.0000
  1.362340         1.0000
  1.362470         1.0000
  1.362600         1.0000
  1.362730         1.0000
  1.362860         1.0000
  1.362990         1.0000
  1.363120         1.0000
  1.363250         1.0000
  1.363380         1.0000
  1.363510         1.0000
  1.363640         1.0000
  1.363770         1.0000
  1.363900         1.0000
  1.364030         1.0000
  1.364160         1.0000
  1.364290         1.0000
  1.364420         1.0000
  1.364550         1.0000
  1.364680         1.0000
  1.364810         1.0000
  1.364940         1.0000
  1.365070         1.0000
  1.365200         1.0000
  1.365330         1.0000
  1.365460         1.0000
  1.365590         1.0000
  1.365720         1.0000
  1.365850         1.0000
  1.365980         1.0000
  1.366110         1.0000
  1.366240         1.0000
  1.366370         1.0000
  1.366500         1.0000
  1.366630         1.0000
  1.366760         1.0000
  1.366890         1.0000
  1.367020         1.0000
  1.367150         1.0000
  1.367280         1.0000
  1.367410         1.0000
  1.367540         1.0000
  1.367670         1.0000
  1.367800         1.0000
  1.367930         1.0000
  1.368060         1.0000
  1.368190         1.0000
  1.368320         1.0000
  1.368450         1.0000
  1.368580         1.0000
  1.368710         1.0000
  1.368840         1.0000
  1.368970         1.0000
  1.369100         1.0000
  1.369230         1.0000
  1.369360         1.0000
  1.369490         1.0000
  1.369620         1.0000
  1.369750         1.0000
  1.369880         1.0000
  1.370010         1.0000
  1.370140         1.0000
  1.370270         1.0000
  1.370400         1.0000
  1.370530         1.0000
  1.370660         1.0000
