# Wavelength (um)  Transmission
  1.602900         0.0000
  1.603030         0.0000
  1.603160         0.0000
  1.603290         0.0000
  1.603420         0.0000
  1.603550         0.0000
  1.603680         0.0000
  1.603810         0.0000
  1.603940         0.0000
  1.604070         0.0000
  1.604200         0.0000
  1.604330         0.0000
  1.604460         0.0000
  1.604590         0.0000
  1.604720         0.0000
  1.604850         0.0000
  1.604980         0.0000
  1.605110         0.0000
  1.605240         0.0000
  1.605370         0.0000
  1.605500         0.0000
  1.605630         0.0000
  1.605760         0.0000
  1.605890         0.0000
  1.606020         0.0000
  1.606150         0.0000
  1.606280         1.0000
  1.606410         1.0000
  1.606540         1.0000
  1.606670         1.0000
  1.606800         1.0000
  1.606930         1.0000
  1.607060         1.0000
  1.607190         1.0000
  1.607320         1.0000
  1.607450         1.0000
  1.607580         1.0000
  1.607710         1.0000
  1.607840         1.0000
  1.607970         1.0000
  1.608100         1.0000
  1.608230         1.0000
  1.608360         1.0000
  1.608490         1.0000
  1.608620         1.0000
  1.608750         1.0000
  1.608880         1.0000
  1.609010         1.0000
  1.609140         1.0000
  1.609270         1.0000
  1.609400         1.0000
  1.609530         1.0000
  1.609660         1.0000
  1.609790         1.0000
  1.609920         1.0000
  1.610050         1.0000
  1.610180         1.0000
  1.610310         1.0000
  1.610440         1.0000
  1.610570         1.0000
  1.610700         1.0000
  1.610830         1.0000
  1.610960         1.0000
  1.611090         1.0000
  1.611220         1.0000
  1.611350         1.0000
  1.611480         1.0000
  1.611610         1.0000
  1.611740         1.0000
  1.611870         1.0000
  1.612000         1.0000
  1.612130         1.0000
  1.612260         1.0000
  1.612390         1.0000
  1.612520         1.0000
  1.612650         1.0000
  1.612780         1.0000
  1.612910         1.0000
  1.613040         1.0000
  1.613170         1.0000
  1.613300         1.0000
  1.613430         1.0000
  1.613560         1.0000
  1.613690         1.0000
  1.613820         1.0000
  1.613950         1.0000
  1.614080         1.0000
  1.614210         1.0000
  1.614340         1.0000
  1.614470         1.0000
  1.614600         1.0000
  1.614730         1.0000
  1.614860         1.0000
  1.614990         1.0000
  1.615120         1.0000
  1.615250         1.0000
  1.615380         1.0000
  1.615510         1.0000
  1.615640         1.0000
  1.615770         1.0000
  1.615900         1.0000
  1.616030         1.0000
  1.616160         1.0000
  1.616290         1.0000
  1.616420         1.0000
  1.616550         1.0000
  1.616680         1.0000
  1.616810         1.0000
  1.616940         1.0000
  1.617070         1.0000
  1.617200         1.0000
  1.617330         1.0000
  1.617460         1.0000
  1.617590         1.0000
  1.617720         1.0000
  1.617850         1.0000
  1.617980         1.0000
  1.618110         1.0000
  1.618240         1.0000
  1.618370         1.0000
  1.618500         1.0000
  1.618630         1.0000
  1.618760         1.0000
  1.618890         1.0000
  1.619020         1.0000
  1.619150         1.0000
  1.619280         1.0000
  1.619410         1.0000
  1.619540         1.0000
  1.619670         1.0000
  1.619800         1.0000
  1.619930         1.0000
  1.620060         1.0000
  1.620190         1.0000
  1.620320         1.0000
  1.620450         1.0000
  1.620580         1.0000
  1.620710         1.0000
  1.620840         1.0000
  1.620970         1.0000
  1.621100         1.0000
  1.621230         1.0000
  1.621360         1.0000
  1.621490         1.0000
  1.621620         1.0000
  1.621750         1.0000
  1.621880         1.0000
  1.622010         1.0000
  1.622140         1.0000
  1.622270         1.0000
  1.622400         1.0000
  1.622530         1.0000
  1.622660         1.0000
  1.622790         1.0000
  1.622920         1.0000
  1.623050         1.0000
  1.623180         1.0000
  1.623310         1.0000
  1.623440         1.0000
  1.623570         1.0000
  1.623700         1.0000
  1.623830         1.0000
  1.623960         1.0000
  1.624090         1.0000
  1.624220         1.0000
  1.624350         1.0000
  1.624480         1.0000
  1.624610         1.0000
  1.624740         1.0000
  1.624870         1.0000
  1.625000         1.0000
  1.625130         1.0000
  1.625260         1.0000
  1.625390         1.0000
  1.625520         1.0000
  1.625650         1.0000
  1.625780         1.0000
  1.625910         1.0000
  1.626040         1.0000
  1.626170         1.0000
  1.626300         1.0000
  1.626430         1.0000
  1.626560         1.0000
  1.626690         1.0000
  1.626820         1.0000
  1.626950         1.0000
  1.627080         1.0000
  1.627210         1.0000
  1.627340         1.0000
  1.627470         1.0000
  1.627600         1.0000
  1.627730         1.0000
  1.627860         1.0000
  1.627990         1.0000
  1.628120         1.0000
  1.628250         1.0000
  1.628380         1.0000
  1.628510         1.0000
  1.628640         1.0000
  1.628770         1.0000
  1.628900         1.0000
  1.629030         1.0000
  1.629160         1.0000
  1.629290         1.0000
  1.629420         1.0000
  1.629550         1.0000
  1.629680         1.0000
  1.629810         1.0000
  1.629940         1.0000
  1.630070         1.0000
  1.630200         1.0000
  1.630330         1.0000
  1.630460         1.0000
  1.630590         1.0000
  1.630720         1.0000
  1.630850         1.0000
  1.630980         1.0000
  1.631110         1.0000
  1.631240         1.0000
  1.631370         1.0000
  1.631500         1.0000
