# Wavelength (um)  Transmission
  1.245600         0.0000
  1.245730         0.0000
  1.245860         0.0000
  1.245990         0.0000
  1.246120         0.0000
  1.246250         0.0000
  1.246380         0.0000
  1.246510         0.0000
  1.246640         0.0000
  1.246770         0.0000
  1.246900         0.0000
  1.247030         0.0000
  1.247160         0.0000
  1.247290         0.0000
  1.247420         0.0000
  1.247550         0.0000
  1.247680         0.0000
  1.247810         0.0000
  1.247940         0.0000
  1.248070         0.0000
  1.248200         0.0000
  1.248330         0.0000
  1.248460         0.0000
  1.248590         0.0000
  1.248720         0.0000
  1.248850         0.0000
  1.248980         1.0000
  1.249110         1.0000
  1.249240         1.0000
  1.249370         1.0000
  1.249500         1.0000
  1.249630         1.0000
  1.249760         1.0000
  1.249890         1.0000
  1.250020         1.0000
  1.250150         1.0000
  1.250280         1.0000
  1.250410         1.0000
  1.250540         1.0000
  1.250670         1.0000
  1.250800         1.0000
  1.250930         1.0000
  1.251060         1.0000
  1.251190         1.0000
  1.251320         1.0000
  1.251450         1.0000
  1.251580         1.0000
  1.251710         1.0000
  1.251840         1.0000
  1.251970         1.0000
  1.252100         1.0000
  1.252230         1.0000
  1.252360         1.0000
  1.252490         1.0000
  1.252620         1.0000
  1.252750         1.0000
  1.252880         1.0000
  1.253010         1.0000
  1.253140         1.0000
  1.253270         1.0000
  1.253400         1.0000
  1.253530         1.0000
  1.253660         1.0000
  1.253790         1.0000
  1.253920         1.0000
  1.254050         1.0000
  1.254180         1.0000
  1.254310         1.0000
  1.254440         1.0000
  1.254570         1.0000
  1.254700         1.0000
  1.254830         1.0000
  1.254960         1.0000
  1.255090         1.0000
  1.255220         1.0000
  1.255350         1.0000
  1.255480         1.0000
  1.255610         1.0000
  1.255740         1.0000
  1.255870         1.0000
  1.256000         1.0000
  1.256130         1.0000
  1.256260         1.0000
  1.256390         1.0000
  1.256520         1.0000
  1.256650         1.0000
  1.256780         1.0000
  1.256910         1.0000
  1.257040         1.0000
  1.257170         1.0000
  1.257300         1.0000
  1.257430         1.0000
  1.257560         1.0000
  1.257690         1.0000
  1.257820         1.0000
  1.257950         1.0000
  1.258080         1.0000
  1.258210         1.0000
  1.258340         1.0000
  1.258470         1.0000
  1.258600         1.0000
  1.258730         1.0000
  1.258860         1.0000
  1.258990         1.0000
  1.259120         1.0000
  1.259250         1.0000
  1.259380         1.0000
  1.259510         1.0000
  1.259640         1.0000
  1.259770         1.0000
  1.259900         1.0000
  1.260030         1.0000
  1.260160         1.0000
  1.260290         1.0000
  1.260420         1.0000
  1.260550         1.0000
  1.260680         1.0000
  1.260810         1.0000
  1.260940         1.0000
  1.261070         1.0000
  1.261200         1.0000
  1.261330         1.0000
  1.261460         1.0000
  1.261590         1.0000
  1.261720         1.0000
  1.261850         1.0000
  1.261980         1.0000
  1.262110         1.0000
  1.262240         1.0000
  1.262370         1.0000
  1.262500         1.0000
  1.262630         1.0000
  1.262760         1.0000
  1.262890         1.0000
  1.263020         1.0000
  1.263150         1.0000
  1.263280         1.0000
  1.263410         1.0000
  1.263540         1.0000
  1.263670         1.0000
  1.263800         1.0000
  1.263930         1.0000
  1.264060         1.0000
  1.264190         1.0000
  1.264320         1.0000
  1.264450         1.0000
  1.264580         1.0000
  1.264710         1.0000
  1.264840         1.0000
  1.264970         1.0000
  1.265100         1.0000
  1.265230         1.0000
  1.265360         1.0000
  1.265490         1.0000
  1.265620         1.0000
  1.265750         1.0000
  1.265880         1.0000
  1.266010         1.0000
  1.266140         1.0000
  1.266270         1.0000
  1.266400         1.0000
  1.266530         1.0000
  1.266660         1.0000
  1.266790         1.0000
  1.266920         1.0000
  1.267050         1.0000
  1.267180         1.0000
  1.267310         1.0000
  1.267440         1.0000
  1.267570         1.0000
  1.267700         1.0000
  1.267830         1.0000
  1.267960         1.0000
  1.268090         1.0000
  1.268220         1.0000
  1.268350         1.0000
  1.268480         1.0000
  1.268610         1.0000
  1.268740         1.0000
  1.268870         1.0000
  1.269000         1.0000
  1.269130         1.0000
  1.269260         1.0000
  1.269390         1.0000
  1.269520         1.0000
  1.269650         1.0000
  1.269780         1.0000
  1.269910         1.0000
  1.270040         1.0000
  1.270170         1.0000
  1.270300         1.0000
  1.270430         1.0000
  1.270560         1.0000
  1.270690         1.0000
  1.270820         1.0000
  1.270950         1.0000
  1.271080         1.0000
  1.271210         1.0000
  1.271340         1.0000
  1.271470         1.0000
  1.271600         1.0000
  1.271730         1.0000
  1.271860         1.0000
  1.271990         1.0000
  1.272120         1.0000
  1.272250         1.0000
  1.272380         1.0000
  1.272510         1.0000
  1.272640         1.0000
  1.272770         1.0000
  1.272900         1.0000
  1.273030         1.0000
  1.273160         1.0000
  1.273290         1.0000
  1.273420         1.0000
  1.273550         1.0000
  1.273680         1.0000
  1.273810         1.0000
  1.273940         1.0000
  1.274070         1.0000
  1.274200         1.0000
  1.274330         1.0000
  1.274460         1.0000
  1.274590         1.0000
  1.274720         1.0000
  1.274850         1.0000
  1.274980         1.0000
  1.275110         1.0000
  1.275240         1.0000
  1.275370         1.0000
  1.275500         1.0000
  1.275630         1.0000
  1.275760         1.0000
  1.275890         1.0000
  1.276020         1.0000
  1.276150         1.0000
  1.276280         1.0000
  1.276410         1.0000
  1.276540         1.0000
  1.276670         1.0000
  1.276800         1.0000
  1.276930         1.0000
  1.277060         1.0000
  1.277190         1.0000
  1.277320         1.0000
  1.277450         1.0000
  1.277580         1.0000
  1.277710         1.0000
  1.277840         1.0000
  1.277970         1.0000
  1.278100         1.0000
  1.278230         1.0000
  1.278360         1.0000
  1.278490         1.0000
  1.278620         1.0000
  1.278750         1.0000
  1.278880         1.0000
  1.279010         1.0000
  1.279140         1.0000
  1.279270         1.0000
  1.279400         1.0000
  1.279530         1.0000
  1.279660         1.0000
  1.279790         1.0000
  1.279920         1.0000
  1.280050         1.0000
  1.280180         1.0000
  1.280310         1.0000
  1.280440         1.0000
  1.280570         1.0000
  1.280700         1.0000
  1.280830         1.0000
  1.280960         1.0000
  1.281090         1.0000
  1.281220         1.0000
  1.281350         1.0000
  1.281480         0.0000
  1.281610         0.0000
  1.281740         0.0000
  1.281870         0.0000
  1.282000         0.0000
  1.282130         0.0000
  1.282260         0.0000
  1.282390         0.0000
  1.282520         0.0000
  1.282650         0.0000
  1.282780         0.0000
  1.282910         0.0000
  1.283040         0.0000
  1.283170         0.0000
  1.283300         0.0000
  1.283430         0.0000
  1.283560         0.0000
  1.283690         0.0000
  1.283820         0.0000
  1.283950         0.0000
  1.284080         0.0000
  1.284210         0.0000
  1.284340         0.0000
  1.284470         0.0000
  1.284600         0.0000
