# Wavelength (um)  Transmission
  1.430000         0.0000
  1.430150         0.0000
  1.430300         0.0000
  1.430450         0.0000
  1.430600         0.0000
  1.430750         0.0000
  1.430900         0.0000
  1.431050         0.0000
  1.431200         0.0000
  1.431350         0.0000
  1.431500         0.0000
  1.431650         0.0000
  1.431800         0.0000
  1.431950         0.0000
  1.432100         0.0000
  1.432250         0.0000
  1.432400         0.0000
  1.432550         0.0000
  1.432700         0.0000
  1.432850         0.0000
  1.433000         0.0000
  1.433150         0.0000
  1.433300         0.0000
  1.433450         0.0000
  1.433600         0.0000
  1.433750         0.0000
  1.433900         0.0000
  1.434050         0.0000
  1.434200         0.0000
  1.434350         0.0000
  1.434500         0.0000
  1.434650         0.0000
  1.434800         0.0000
  1.434950         0.0000
  1.435100         0.0000
  1.435250         0.0000
  1.435400         0.0000
  1.435550         0.0000
  1.435700         0.0000
  1.435850         0.0000
  1.436000         0.0000
  1.436150         0.0000
  1.436300         0.0000
  1.436450         0.0000
  1.436600         0.0000
  1.436750         0.0000
  1.436900         0.0000
  1.437050         0.0000
  1.437200         0.0000
  1.437350         0.0000
  1.437500         0.0000
  1.437650         0.0000
  1.437800         0.0000
  1.437950         0.0000
  1.438100         0.0000
  1.438250         0.0000
  1.438400         0.0000
  1.438550         0.0000
  1.438700         0.0000
  1.438850         0.0000
  1.439000         0.0000
  1.439150         0.0000
  1.439300         0.0000
  1.439450         0.0000
  1.439600         0.0000
  1.439750         0.0000
  1.439900         0.0000
  1.440050         1.0000
  1.440200         1.0000
  1.440350         1.0000
  1.440500         1.0000
  1.440650         1.0000
  1.440800         1.0000
  1.440950         1.0000
  1.441100         1.0000
  1.441250         1.0000
  1.441400         1.0000
  1.441550         1.0000
  1.441700         1.0000
  1.441850         1.0000
  1.442000         1.0000
  1.442150         1.0000
  1.442300         1.0000
  1.442450         1.0000
  1.442600         1.0000
  1.442750         1.0000
  1.442900         1.0000
  1.443050         1.0000
  1.443200         1.0000
  1.443350         1.0000
  1.443500         1.0000
  1.443650         1.0000
  1.443800         1.0000
  1.443950         1.0000
  1.444100         1.0000
  1.444250         1.0000
  1.444400         1.0000
  1.444550         1.0000
  1.444700         1.0000
  1.444850         1.0000
  1.445000         1.0000
  1.445150         1.0000
  1.445300         1.0000
  1.445450         1.0000
  1.445600         1.0000
  1.445750         1.0000
  1.445900         1.0000
  1.446050         1.0000
  1.446200         1.0000
  1.446350         1.0000
  1.446500         1.0000
  1.446650         1.0000
  1.446800         1.0000
  1.446950         1.0000
  1.447100         1.0000
  1.447250         1.0000
  1.447400         1.0000
  1.447550         1.0000
  1.447700         1.0000
  1.447850         1.0000
  1.448000         1.0000
  1.448150         1.0000
  1.448300         1.0000
  1.448450         1.0000
  1.448600         1.0000
  1.448750         1.0000
  1.448900         1.0000
  1.449050         1.0000
  1.449200         1.0000
  1.449350         1.0000
  1.449500         1.0000
  1.449650         1.0000
  1.449800         1.0000
  1.449950         1.0000
  1.450100         1.0000
  1.450250         1.0000
  1.450400         1.0000
  1.450550         1.0000
  1.450700         1.0000
  1.450850         1.0000
  1.451000         1.0000
  1.451150         1.0000
  1.451300         1.0000
  1.451450         1.0000
  1.451600         1.0000
  1.451750         1.0000
  1.451900         1.0000
  1.452050         1.0000
  1.452200         1.0000
  1.452350         1.0000
  1.452500         1.0000
  1.452650         1.0000
  1.452800         1.0000
  1.452950         1.0000
  1.453100         1.0000
  1.453250         1.0000
  1.453400         1.0000
  1.453550         1.0000
  1.453700         1.0000
  1.453850         1.0000
  1.454000         1.0000
  1.454150         1.0000
  1.454300         1.0000
  1.454450         1.0000
  1.454600         1.0000
  1.454750         1.0000
  1.454900         1.0000
  1.455050         1.0000
  1.455200         1.0000
  1.455350         1.0000
  1.455500         1.0000
  1.455650         1.0000
  1.455800         1.0000
  1.455950         1.0000
  1.456100         1.0000
  1.456250         1.0000
  1.456400         1.0000
  1.456550         1.0000
  1.456700         1.0000
  1.456850         1.0000
  1.457000         1.0000
  1.457150         1.0000
  1.457300         1.0000
  1.457450         1.0000
  1.457600         1.0000
  1.457750         1.0000
  1.457900         1.0000
  1.458050         1.0000
  1.458200         1.0000
  1.458350         1.0000
  1.458500         1.0000
  1.458650         1.0000
  1.458800         1.0000
  1.458950         1.0000
  1.459100         1.0000
  1.459250         1.0000
  1.459400         1.0000
  1.459550         1.0000
  1.459700         1.0000
  1.459850         1.0000
  1.460000         1.0000
  1.460150         1.0000
  1.460300         1.0000
  1.460450         1.0000
  1.460600         1.0000
  1.460750         1.0000
  1.460900         1.0000
  1.461050         1.0000
  1.461200         1.0000
  1.461350         1.0000
  1.461500         1.0000
  1.461650         1.0000
  1.461800         1.0000
  1.461950         1.0000
  1.462100         1.0000
  1.462250         1.0000
  1.462400         1.0000
  1.462550         1.0000
  1.462700         1.0000
  1.462850         1.0000
  1.463000         1.0000
  1.463150         1.0000
  1.463300         1.0000
  1.463450         1.0000
  1.463600         1.0000
  1.463750         1.0000
  1.463900         1.0000
  1.464050         1.0000
  1.464200         1.0000
  1.464350         1.0000
  1.464500         1.0000
  1.464650         1.0000
  1.464800         1.0000
  1.464950         1.0000
  1.465100         1.0000
  1.465250         1.0000
  1.465400         1.0000
  1.465550         1.0000
  1.465700         1.0000
  1.465850         1.0000
  1.466000         1.0000
  1.466150         1.0000
  1.466300         1.0000
  1.466450         1.0000
  1.466600         1.0000
  1.466750         1.0000
  1.466900         1.0000
  1.467050         1.0000
  1.467200         1.0000
  1.467350         1.0000
  1.467500         1.0000
  1.467650         1.0000
  1.467800         1.0000
  1.467950         1.0000
  1.468100         1.0000
  1.468250         1.0000
  1.468400         1.0000
  1.468550         1.0000
  1.468700         1.0000
  1.468850         1.0000
  1.469000         1.0000
  1.469150         1.0000
  1.469300         1.0000
  1.469450         1.0000
  1.469600         1.0000
  1.469750         1.0000
  1.469900         1.0000
  1.470050         1.0000
  1.470200         1.0000
  1.470350         1.0000
  1.470500         1.0000
  1.470650         1.0000
  1.470800         1.0000
  1.470950         1.0000
  1.471100         1.0000
  1.471250         1.0000
  1.471400         1.0000
  1.471550         1.0000
  1.471700         1.0000
  1.471850         1.0000
  1.472000         1.0000
  1.472150         1.0000
  1.472300         1.0000
  1.472450         1.0000
  1.472600         1.0000
  1.472750         1.0000
  1.472900         1.0000
  1.473050         1.0000
  1.473200         1.0000
  1.473350         1.0000
  1.473500         1.0000
  1.473650         1.0000
  1.473800         1.0000
  1.473950         1.0000
  1.474100         1.0000
  1.474250         1.0000
  1.474400         1.0000
  1.474550         1.0000
  1.474700         1.0000
  1.474850         1.0000
  1.475000         0.0000
  1.475150         0.0000
  1.475300         0.0000
  1.475450         0.0000
  1.475600         0.0000
  1.475750         0.0000
  1.475900         0.0000
  1.476050         0.0000
  1.476200         0.0000
  1.476350         0.0000
  1.476500         0.0000
  1.476650         0.0000
  1.476800         0.0000
  1.476950         0.0000
  1.477100         0.0000
  1.477250         0.0000
  1.477400         0.0000
  1.477550         0.0000
  1.477700         0.0000
  1.477850         0.0000
  1.478000         0.0000
  1.478150         0.0000
  1.478300         0.0000
  1.478450         0.0000
  1.478600         0.0000
  1.478750         0.0000
  1.478900         0.0000
  1.479050         0.0000
  1.479200         0.0000
  1.479350         0.0000
  1.479500         0.0000
  1.479650         0.0000
  1.479800         0.0000
  1.479950         0.0000
  1.480100         0.0000
  1.480250         0.0000
  1.480400         0.0000
  1.480550         0.0000
  1.480700         0.0000
  1.480850         0.0000
  1.481000         0.0000
  1.481150         0.0000
  1.481300         0.0000
  1.481450         0.0000
  1.481600         0.0000
  1.481750         0.0000
  1.481900         0.0000
  1.482050         0.0000
  1.482200         0.0000
  1.482350         0.0000
  1.482500         0.0000
  1.482650         0.0000
  1.482800         0.0000
  1.482950         0.0000
  1.483100         0.0000
  1.483250         0.0000
  1.483400         0.0000
  1.483550         0.0000
  1.483700         0.0000
  1.483850         0.0000
  1.484000         0.0000
  1.484150         0.0000
  1.484300         0.0000
  1.484450         0.0000
  1.484600         0.0000
  1.484750         0.0000
  1.484900         0.0000
